ntcse,uunn,amt,direccion,wgsy,wgsx
E420034,HUANUCO,A4252,CD - CIUDADELA CIUDAD HUANUCO CL - CALLE ESQ. Jr. INDEPENDENCIA  Y ALAMEDA,-9.920522476,-76.24256495
E420228,HUANUCO,A4256,CIUDAD HUANUCO JR - JIRÓN HUANUCO 253,-9.927919054,-76.24656281
E420118,HUANUCO,A4257,GR - GRUPO PITUMAMA CA - CARRETERA MOLINERA KUENNEN Y DUANNE,-9.985413997,-76.24588021
E420156,HUANUCO,A4266,BO - BARRIO PILLCO MARCA CL - CALLE S/N,-9.962867015,-76.24544063
E420158,HUANUCO,A4257,AMBO CA - CARRETERA CENTRAL,-10.12046271,-76.20755186
E420172,HUANUCO,A4257,BO - BARRIO PILLCOMARCA CL - CALLE YANAG-ROSAVERO,-9.994624385,-76.24582172
E420173,HUANUCO,A4257,BO - BARRIO PILLCOMARCA CL - CALLE CARRETERA A COLPA ALTA,-9.98112048,-76.24092888
E420196,HUANUCO,A4257,"BO - BARRIO PILLCOPAMPA CL - CALLE ANDABAMBA Mz ""C""",-10.00029396,-76.2446993
E420273,HUANUCO,A4257,BO - BARRIO TOLLOCOTO CL - CALLE TOLLOCOTO,-10.06864441,-76.21111231
E420281,HUANUCO,A4257,CD - CIUDADELA TOMAYQUICHUA AV - AVENIDA GARSILAZO DE LE VEGA,-10.07766778,-76.21551362
E420039,HUANUCO,A4256,CO - CONJUNTO HABITACIONAL SIN NOMBRE JR - JIRÓN JR. SECHI IZUMI 538,-9.937411356,-76.24925739
E420147,HUANUCO,A4256,LOMA BLANCA CL - CALLE COMITE  07     Loma blanca,-9.930729776,-76.25374407
E420148,HUANUCO,A4251,UR -  URBANIZACIÓN LOS CARRIZALES CL - CALLE URB .LOS CARRIZALES   Vi¤a del rio,-9.939111902,-76.26008818
E420153,HUANUCO,A4256,CIUDAD HUANUCO JR - JIRÓN 2 DE MAYO 355,-9.937073687,-76.24627293
E420216,HUANUCO,A4256,VISTA ALEGRE CL - CALLE SIN NOMBRE,-9.936204282,-76.25423307
E420219,HUANUCO,A4256,HUANUCO CL - CALLE COMITE 11,-9.927146102,-76.24777542
