ntcse,uunn,amt,direccion,wgsy,wgsx
I408288,HUANUCO,A4252,LEONCIO PRADO CDRA 12,-9.925726127,-76.24457934
I408287,HUANUCO,A4252,JR. CRESPO CASTILLO C-8,-9.929440183,-76.23824413
I408286,HUANUCO,A4252,Gral Prado Cdra 09,-9.931239879,-76.23941688
I408285,HUANUCO,A4252,"BOLIVAR CDRA 7, Se realizò mantenimiento 11/10/09",-9.92843027,-76.23696928
I408293,HUANUCO,A4258,PUCUCHINCHE,-9.92293169,-76.29320333
I408294,HUANUCO,A4258,PUCUCHINCHE,-9.924120666,-76.2884453
I408305,HUANUCO,A4254,SECC: I408305,-9.935828168,-76.23812576
I408298,HUANUCO,A4254,SECC: I408298,-9.908612504,-76.22771419
I408295,HUANUCO,A4253,SECC: I408295,-9.87821985,-76.20737929
I408299,HUANUCO,A4266,DERIVACION POTRACANCHA,-9.965002373,-76.24503796
I408318,HUANUCO,A4254,SECC: I408318,-9.92566466,-76.23031721
I408307,HUANUCO,A4258,SECC: I408307,-9.896875238,-76.42588032
I408280,HUANUCO,A4271,JUANA MORENO,-9.540466609,-76.81805383
I408291,HUANUCO,A4268,DERIVACION VILCABAMBA,-9.756872956,-76.6570617
I408303,HUANUCO,A4260,SECC: I408303,-9.835657675,-76.13147076
I408290,HUANUCO,A4268,SECC: I408290,-9.771469322,-76.65931162
